Sn,News,Category
,,
1,"मूल्यवृद्धिसँगै अब काठमाडौंमा पेट्रोल प्रतिलिटर १८३ र डिजेल/मट्टितेल प्रतिलिटर १७३ पुगेको छ । बढेको मूल्य शनिबार बिहान १ बजेदेखि लागू हुने निगमले शुक्रबार साँझ जारी गरेको विज्ञप्तिमा उल्लेख छ ।
यसअघि निगमले भदौ १४ गते मूल्य समायोजन गर्दै पेट्रोल ४ रुपैयाँ र डिजेल/मट्टितेलमा प्रतिलिटर ३ रुपैयाँ बढाएको थियो ।
इन्डियन आयल कर्पोरेशनबाट आज प्राप्त नयाँ खरिद मूल्यअनुसार पेट्रोल र डिजेलको मूल्यमा क्रमशः प्रतिलिटर १ रुपैयाँ १२ पैसा र २ रुपैयाँ ९१ पैसा वृद्धि भई आएकाले खुद्रा बिक्री मूल्य बढाउनु परेको निगमका प्रवक्ता मनोज ठाकुरले जानकारी दिए ।

",Finance
,,
,,
2,सरकारले पेट्रोलियम पदार्थको मूल्य फेरि बढाएको छ । इन्डियन आयल कर्पोरेसनबाट खरिद मूल्य बढेर आएको भन्दै शुक्रबार बसेको निगम व्यवस्थापनको बैठकले पेट्रोल प्रतिलिटर १ र डिजेल/मट्टितेलमा ३ रुपैयाँ वृद्धि गर्ने निर्णय गरेको हो ।,Finance
,,
3,"हालसम्म ४ वाणिज्य बैंकहरुले गत आर्थिक वर्षको नाफाबाट सेयरधनीलाई दिने लाभांश घोषणा गरेका छन् । नेपाल स्टक एक्स्चेन्जका अनुसार माछापुच्छ्रे, एभरेस्ट, सानिमा र एनआईसी एसिया बैंकले लाभांश घोषणा गरेका हुन् ।",Finance
,,
4,चालु आर्थिक वर्षको पहिलो महिना साउनमा मुलुकबाट १६ करोड ४४ लाख ६५ हजार रुपैयाँ बराबरको २५ हजार ७ सय ४२ टन क्लिंकर निर्यात भएको छ । साउनमै ७ करोड ५ लाख २४ हजार रुपैयाँ बराबरको ९ हजार ५ सय ७३ टन तयारी सिमेन्ट निर्यात भएको भन्सार विभागको तथ्यांक छ । गत आर्थिक वर्षमा ३५ करोड ८९ लाख ५० हजार रुपैयाँ बराबरको सिमेन्ट र ४२ करोडको क्लिंकर निर्यात भएको थियो ।,Finance
,,
5,नेपाली राजनीति र साहित्यमा सबैभन्दा धेरै एकैसाथ नाम लिइने व्यक्ति विश्वेश्वरप्रसाद कोइराला उर्फ बीपी कोइराला (१९७१-२०३९) को साहित्य सिर्जना र उनको जीवन दर्शन जस्ता विषयलाई सँगै राखेर एउटा छोटो संकथनमा प्रस्तुत गर्न खोज्नु एउटा चुनौतीपूर्ण कर्म हो ।,Opinion
,,
6,"पत्रकार रमेशकुमारले हिमालखबरमा अघिल्लो साता आकर्षक शीर्षकसहित एउटा समाचार लेखेका थिए— ‘विदेश गइरहेको देश’ । त्यसमा उठाइएका विषयवस्तु नयाँ होइनन्, तर त्यसमा उल्लिखित विदेश जानेहरूको तथ्यांक–विश्लेषण हेर्दा अवस्था साँच्चै सोचनीय भइसकेको देखिन्छ ।",Opinion
,,
7,"बिरामीको उपचारमा लापरबाही गरेको आरोप लगाउँदै बुधबार बिहान हेटौंडा–१ स्थित सन्चो अस्पतालका डाक्टरहरूमाथि आक्रमण भएको छ । घटनापछि आक्रमणकारीमाथि कारबाही र व्यक्तिगत सुरक्षाको माग गर्दै सन्चो अस्पतालमा सहकर्मीहरूले ओपीडी सेवा बन्द गरे, उनीहरूको समर्थनमा हेटौंडा अस्पतालका डाक्टरले राजीनामा दिने क्रम सुरु भएको छ ।",Opinion
,,
